36.5994 | symbol | symbol;
0 | symbol | symbol;
43.2872 | symbol | symbol;
0 | symbol | symbol;
39.3343 | symbol | symbol;
0 | symbol | symbol;
35.1643 | symbol | symbol;
0 | symbol | symbol;
41.9078 | symbol | symbol;
0 | symbol | symbol;
41.6539 | symbol | symbol;
0 | symbol | symbol;
42.2281 | symbol | symbol;
1.46478 | symbol | symbol;
0 | symbol | symbol;
40.9401 | symbol | symbol;
0.376211 | symbol | symbol;
0 | symbol | symbol;
43.709 | symbol | symbol;
0 | symbol | symbol;
56.7131 | symbol | symbol;
50.6305 | symbol | symbol;
9.18324 | symbol | symbol;
0 | symbol | symbol;
74.313 | symbol | symbol;
77.3458 | symbol | symbol;
73.2047 | symbol | symbol;
64.7407 | symbol | symbol;
54.2874 | symbol | symbol;
61.3004 | symbol | symbol;
57.6698 | symbol | symbol;
64.9763 | symbol | symbol;
70.4058 | symbol | symbol;
70.8057 | symbol | symbol;
71.5295 | symbol | symbol;
80.9258 | symbol | symbol;
81.8179 | symbol | symbol;
79.6771 | symbol | symbol;
81.6302 | symbol | symbol;
76.1562 | symbol | symbol;
70.0855 | symbol | symbol;
60.1462 | symbol | symbol;
49.153 | symbol | symbol;
5.82285 | symbol | symbol;
0 | symbol | symbol;
49.431 | symbol | symbol;
44.6313 | symbol | symbol;
0 | symbol | symbol;
80.4413 | symbol | symbol;
80.183 | symbol | symbol;
85.2459 | symbol | symbol;
83.6036 | symbol | symbol;
97.926 | symbol | symbol;
89.7005 | symbol | symbol;
89.8839 | symbol | symbol;
89.5986 | symbol | symbol;
91.0431 | symbol | symbol;
92.674 | symbol | symbol;
91.689 | symbol | symbol;
93.1471 | symbol | symbol;
90.2777 | symbol | symbol;
94.4913 | symbol | symbol;
93.8957 | symbol | symbol;
93.6674 | symbol | symbol;
89.8594 | symbol | symbol;
91.8559 | symbol | symbol;
89.6224 | symbol | symbol;
91.6564 | symbol | symbol;
88.6089 | symbol | symbol;
81.6512 | symbol | symbol;
92.3158 | symbol | symbol;
93.7992 | symbol | symbol;
97.5792 | symbol | symbol;
96.4359 | symbol | symbol;
96.2195 | symbol | symbol;
94.2004 | symbol | symbol;
70.5559 | symbol | symbol;
85.9194 | symbol | symbol;
107.601 | symbol | symbol;
98.484 | symbol | symbol;
95.9443 | symbol | symbol;
87.2949 | symbol | symbol;
77.8426 | symbol | symbol;
67.3819 | symbol | symbol;
62.2607 | symbol | symbol;
63.1856 | symbol | symbol;
68.5456 | symbol | symbol;
72.9653 | symbol | symbol;
77.3465 | symbol | symbol;
79.3562 | symbol | symbol;
81.9088 | symbol | symbol;
85.8909 | symbol | symbol;
95.4916 | symbol | symbol;
86.452 | symbol | symbol;
76.08 | symbol | symbol;
61.3718 | symbol | symbol;
50.3384 | symbol | symbol;
51.4041 | symbol | symbol;
11.1634 | symbol | symbol;
0 | symbol | symbol;
69.7601 | symbol | symbol;
63.8176 | symbol | symbol;
63.4777 | symbol | symbol;
63.917 | symbol | symbol;
65.1467 | symbol | symbol;
66.6459 | symbol | symbol;
66.945 | symbol | symbol;
65.9781 | symbol | symbol;
65.1648 | symbol | symbol;
65.2746 | symbol | symbol;
65.9374 | symbol | symbol;
65.9877 | symbol | symbol;
65.0391 | symbol | symbol;
